"","id","name","rating","review_count","price","cat1","latitude","longitude","address1","city","state","distance"
"1","iJeJTdAk4psgnkxiYQ-mjw","Cugino Forno Pizzeria Winston Salem",4.5,83,"$$","Pizza",36.099992,-80.241782,"486 N Patterson Ave","Winston-Salem","NC",3494.07409806504
"2","GyrQbFq_UJSC8vTQZDYYiw","Firestorm Pizza - Winston Salem",4,69,"$","Pizza",36.08524,-80.29257,"700 Stratford Rd","Winston-Salem","NC",1946.40750984236
"3","XLcrAwOKODxEVxx2bX8sYw","Times Square Pizzeria",4,74,"$","Pizza",36.067116,-80.25362717,"1155 Silas Creek Pkwy","Winston-Salem","NC",4141.42423290586
"4","YFqluwo-bnBk55HPsbudAg","Zito! Pizzeria and Grill",4.5,109,"$","Greek",36.0753339,-80.3034325,"3030 Healy Dr","Winston-Salem","NC",3312.15272139149
"5","8jsNWWOJxPJHjfGg6O5yVw","Mission Pizza Napoletana",3.5,150,"$$","Pizza",36.1030994,-80.2464478,"707 N Trade St","Winston-Salem","NC",3128.60362546047
"6","GLYTmXRj2N1O7zgFXq7paQ","Burke Street Pizza",3.5,157,"$","Pizza",36.094136727274,-80.259411370752,"1140 Burke St","Winston Salem","NC",1930.86530130542
"7","kXiccbV9CeJwbTgOsRdV4g","Whitaker Square Gourmet Pizza",3.5,32,"$","Pizza",36.118678,-80.31152,"1981 N Peace Haven Rd","Winston-Salem","NC",3657.76135707868
"8","nE_5QWF4NSIFgQ9bSJutyQ","Marcos Pizza",4.5,29,"$","Pizza",36.0386,-80.27186,"2215 Old Salisbury Rd","Winston-Salem","NC",6566.25263536137
"9","PJaLXg-BwJZ0Yrfc35MFmA","Brixx Wood Fired Pizza",3.5,88,"$$","Pizza",36.066300645142,-80.325684185235,"1295 Creekshire Way","Winston-Salem","NC",5326.83280074343
"10","uIjKPHfYokiQFOu5hhqeAQ","Mario's Pizza",4,43,"$","Pizza",36.091827501472,-80.274428763545,"2205 Cloverdale Ave","Winston Salem","NC",822.439532117472
"11","cXkM9-3BC_dEmd7ig0BIhA","Sixty Six Grill And Taphouse- Winston-Salem",3.5,101,"$$","Bars",36.06089,-80.31094,"3440 Frontis St","Winston-Salem","NC",4872.32193447064
"12","H_OH_6hJWKVJL2Nd2xNvDA","Mellow Mushroom",3.5,239,"$$","Pizza",36.0979771990353,-80.2477720638237,"314 W 4th St","Winston Salem","NC",2944.31058706254
"13","Z7nwNacaa885p6esC9SulA","Marco's Pizza",4.5,9,"$","Pizza",36.076739,-80.336068,"246 Jonestown Rd","Winston-Salem","NC",5490.94427706088
"14","VlKnZBVEWX11Gt_wjbBt6A","Elizabeth's Pizza Italian Restaurant",4,58,"$$","Italian",36.0718045,-80.2952912,"3278 Silas Creek Pkwy","Winston Salem","NC",3373.11684196841
"15","25jr7MLAUo31tOvG1ZG5ZQ","The Loop Pizza Grill",3.5,62,"$","Pizza",36.09150499558,-80.283390534825,"320 S Stratford Rd","Winston Salem","NC",697.693289077225
"16","q4srbeqi9_Cfjej5FtH7WQ","Domino's Pizza",4.5,5,"$","Pizza",36.087982,-80.286565,"450 Knollwood St","Winston Salem","NC",1173.17525913727
"17","3EpzgIvhHJ11rW7LEXOJRA","Restaurant & Pizzería NEW YORK",3.5,19,"$$","Pizza",36.161923,-80.276868,"5083 University Pkwy","Winston-Salem","NC",7188.92752423051
"18","VatUoHlp8e8nt56tOuiJwg","Mario's Pizza",4,54,"$","Pizza",36.069124,-80.32203,"1066 Hanes Mall Blvd","Winston Salem","NC",4873.31113696883
"19","pBlCBxH6KhTemFI-GlzILg","Coppola's Pizzeria & Italian Restaurant",4,57,"$$","Italian",36.1539889,-80.3137986,"3512 Yadkinville Rd","Winston Salem","NC",6834.36626604428
"20","K6c_3usLWFjpLXmDq5bkHg","Bll Rotisserie Factory",4,38,"$$","Pizza",36.090316,-80.28709,"380 Knollwood St","Winston Salem","NC",971.559408859159
"21","gSBCEx3-WgN6PRnDnghuYg","Marco's Pizza",4,7,"","Pizza",36.166349,-80.3344793,"4908 Reynolda Rd","Winston-Salem","NC",9042.07100139907
"22","6D2B_Y7B9vlI_nvYajIbCg","Di Lisio's",4,187,"$$","Italian",36.091023,-80.246169,"301 Brookstown Ave","Winston-Salem","NC",3166.49189818179
"23","i7XWY35FGzlqRzys5Vol0w","Burke Street Pizza",3,42,"$","Pizza",36.1158202990856,-80.3125924974127,"3352 Robinhood Rd","Winston Salem","NC",3553.24867918014
"24","WkaZOv-FDvsERTqMU784XQ","Papa John's Pizza",3.5,8,"$","Pizza",36.0781602,-80.2846369,"1330 S Hawthorne Rd","Winston Salem","NC",2153.12312140242
"25","I54GlCdtYF41lXN7zUlDSQ","Quanto Basta: Italian Eatery & Wine Bar",4,171,"$$","Wine Bars",36.097331,-80.252584,"680 W 4th St","Winston-Salem","NC",2511.12834277888
"26","lUx5XUrQDoefammeCydOfA","Elizabeth's Italian Restaurant & Pizzeria",3,67,"$$","Italian",36.1284637,-80.2614288,"2824 University Pkwy","Winston Salem","NC",3811.17921752014
"27","9ke4ukL11hPbmcQiJjCu9g","Munch Box",5,4,"$","Hot Dogs",36.07087,-80.25484,"2101 Peters Creek Pkwy","Winston-Salem","NC",3723.15690878305
"28","0Cn6T_5FejDY0Tm62kvGMQ","Vincenzo's Italian Restaurant",3.5,53,"$$","Italian",36.11865,-80.3166,"3449 Robinhood Rd","Winston Salem","NC",4010.91233390076
